invoice_id,invoice_date,customer_id,domestic_sale,item_types_purchased,total_quantity,total_price
489434,12/1/09 7:45,13085.0,True,8,166,505.3
489435,12/1/09 7:46,13085.0,True,4,60,145.79999999999998
489436,12/1/09 9:06,13078.0,True,19,193,630.33
489437,12/1/09 9:08,15362.0,True,23,145,310.75
489438,12/1/09 9:24,18102.0,True,17,826,2286.24
489439,12/1/09 9:28,12682.0,False,19,219,426.3
489440,12/1/09 9:43,18087.0,True,2,16,50.4
489441,12/1/09 9:44,18087.0,True,4,102,344.34000000000003
489442,12/1/09 9:46,13635.0,True,23,275,382.37
489443,12/1/09 9:50,14110.0,True,7,120,285.06
489444,12/1/09 9:55,12636.0,False,1,1,141.0
489445,12/1/09 9:57,17519.0,True,19,280,308.44
489446,12/1/09 10:06,13758.0,True,27,382,996.1
489447,12/1/09 10:10,12362.0,False,1,1,130.0
489448,12/1/09 10:18,15413.0,True,4,192,570.24
489450,12/1/09 10:36,16321.0,False,9,100,196.10000000000002
489460,12/1/09 10:46,16167.0,True,15,977,485.79
489461,12/1/09 10:49,17865.0,True,26,379,589.33
489462,12/1/09 10:49,17592.0,True,13,38,148.3
489463,12/1/09 10:52,,True,1,-240,0.0
489464,12/1/09 10:52,,True,1,-96,0.0
489465,12/1/09 10:52,13767.0,True,19,408,1197.8000000000002
489467,12/1/09 10:53,,True,1,-192,0.0
489488,12/1/09 10:59,17238.0,True,30,80,251.1
489505,12/1/09 11:17,15712.0,True,10,64,255.5
489514,12/1/09 11:21,15311.0,True,32,326,823.02
489517,12/1/09 11:34,16329.0,True,38,138,282.46000000000004
489519,12/1/09 11:37,17700.0,True,38,247,696.73
489520,12/1/09 11:41,14911.0,False,30,293,733.63
489521,12/1/09 11:44,,True,1,-50,0.0
489522,12/1/09 11:45,15998.0,True,104,409,700.31
489523,12/1/09 11:46,12931.0,True,1,800,1160.0
489525,12/1/09 11:49,,True,2,2,1.4
489526,12/1/09 11:50,12533.0,False,44,484,929.92
489529,12/1/09 11:51,17984.0,True,50,212,229.46
489531,12/1/09 11:57,14871.0,True,14,54,145.0
489532,12/1/09 11:58,13394.0,True,20,353,304.53000000000003
489533,12/1/09 12:02,16011.0,True,22,67,192.75
489536,12/1/09 12:13,16393.0,True,130,216,367.40999999999997
489537,12/1/09 12:14,14040.0,True,59,250,633.33
489539,12/1/09 12:18,15061.0,True,17,1598,2887.14
489540,12/1/09 12:18,12913.0,True,5,188,537.96
489542,12/1/09 12:19,15061.0,True,2,264,387.6
489544,12/1/09 12:20,14341.0,True,14,226,281.82
489545,12/1/09 12:22,17804.0,True,32,92,124.95
489546,12/1/09 12:30,14156.0,False,33,212,584.5
489547,12/1/09 12:30,13599.0,True,22,595,641.45
489548,12/1/09 12:32,,True,55,253,390.86
489550,12/1/09 12:33,14156.0,False,23,232,482.3
489552,12/1/09 12:36,17063.0,True,25,129,278.61
489556,12/1/09 12:47,15719.0,True,59,176,379.65
489557,12/1/09 12:52,12490.0,False,21,442,603.94
489558,12/1/09 12:54,15793.0,True,4,154,291.58000000000004
489559,12/1/09 12:55,17056.0,True,8,26,128.60000000000002
489560,12/1/09 12:56,13526.0,True,30,1585,859.0999999999999
489561,12/1/09 12:57,14654.0,True,27,273,246.86
489562,12/1/09 13:07,17998.0,True,39,107,229.6
489564,12/1/09 13:13,13526.0,True,14,326,322.9
489566,12/1/09 13:16,17742.0,True,8,35,218.54999999999998
489567,12/1/09 13:19,15326.0,True,20,150,307.8
489569,12/1/09 13:20,14478.0,True,18,312,282.28
489571,12/1/09 13:29,15967.0,True,30,50,156.71
489572,12/1/09 13:29,17611.0,True,83,273,507.49
489573,12/1/09 13:29,15051.0,True,32,306,580.02
489574,12/1/09 13:31,13097.0,True,65,313,551.33
489575,12/1/09 13:37,13590.0,True,22,300,367.28000000000003
489576,12/1/09 13:38,15984.0,True,17,178,319.66
489579,12/1/09 13:41,16887.0,True,34,177,219.82
489580,12/1/09 13:43,12921.0,True,8,276,261.0
489581,12/1/09 13:47,15945.0,True,10,137,124.83000000000001
489582,12/1/09 13:47,14543.0,True,9,125,293.95
489584,12/1/09 13:48,18037.0,True,1,1,21.95
489585,12/1/09 13:49,15662.0,True,4,67,105.85
489586,12/1/09 13:50,15380.0,True,6,98,263.42
489590,12/1/09 14:14,13110.0,True,27,87,362.78000000000003
489593,12/1/09 14:19,12836.0,True,30,95,423.87
489594,12/1/09 14:19,15005.0,True,51,181,322.33
489596,12/1/09 14:27,,True,1,2,17.0
489597,12/1/09 14:28,,True,502,972,5097.82
489598,12/1/09 14:35,16620.0,True,50,575,822.37
489599,12/1/09 14:40,12758.0,False,79,1403,2454.68
489600,12/1/09 14:43,,True,31,39,420.29
489601,12/1/09 14:44,,True,26,36,337.2
489602,12/1/09 14:45,,True,33,42,440.07
489603,12/1/09 14:46,,True,21,29,311.55
489604,12/1/09 14:47,,True,25,40,383.87
489606,12/1/09 14:48,17961.0,True,1,1,2.1
489607,12/1/09 14:49,,True,39,52,446.98
489608,12/1/09 14:49,,True,1,5,9.75
489609,12/1/09 14:50,,True,37,51,553.78
489611,12/1/09 14:53,15601.0,True,1,1,2.95
489612,12/1/09 14:55,,True,41,63,629.78
489613,12/1/09 14:56,13585.0,True,1,1,12.75
489614,12/1/09 14:56,,True,26,42,408.85
489615,12/1/09 14:56,,True,22,47,499.36
489616,12/1/09 14:58,,True,23,50,409.27
489617,12/1/09 14:59,13442.0,True,16,42,198.0
489618,12/1/09 14:59,,True,1,1,6.35
489619,12/1/09 15:02,,True,5,10,19.5
489634,12/1/09 15:19,13381.0,True,1,12,17.4
489635,12/1/09 15:26,16763.0,True,21,173,352.85
489637,12/1/09 15:36,17243.0,True,20,157,535.9
489638,12/1/09 15:42,,True,1,2,7.5
489639,12/1/09 16:05,14865.0,True,1,48,31.200000000000003
489640,12/1/09 16:17,17345.0,True,27,600,329.90999999999997
489641,12/1/09 16:18,13819.0,True,30,462,622.1
489642,12/1/09 16:19,,True,3,3,12.850000000000001
489644,12/1/09 16:30,15808.0,True,26,317,896.5400000000001
489645,12/1/09 16:34,17191.0,True,32,97,261.74
489650,12/1/09 16:44,13748.0,True,7,90,173.1
489652,12/1/09 17:08,15265.0,True,17,146,294.14
489653,12/1/09 17:08,,True,13,26,60.78
489654,12/1/09 17:19,15750.0,True,30,115,222.12
489655,12/1/09 17:26,,True,1,-44,0.0
489656,12/1/09 17:28,17428.0,True,22,401,1237.3
489657,12/1/09 17:28,17428.0,True,3,32,55.2
489658,12/1/09 17:31,15485.0,True,21,249,828.09
489659,12/1/09 17:39,,True,1,230,0.0
489660,12/1/09 17:43,,True,1,-1043,0.0
489661,12/1/09 17:45,17246.0,True,4,34,23.48
489662,12/1/09 17:50,15485.0,True,1,25,73.75
489663,12/1/09 18:02,,True,1,-117,0.0
489664,12/1/09 18:03,14061.0,True,11,57,374.43
489665,12/1/09 18:07,14108.0,True,10,118,252.3
489666,12/1/09 18:13,13648.0,True,15,203,263.09000000000003
489667,12/1/09 18:35,16563.0,True,10,221,538.46
489668,12/1/09 19:19,16701.0,True,8,198,378.12
489669,12/2/09 8:15,12842.0,True,3,168,397.20000000000005
489670,12/2/09 8:16,14302.0,True,2,28,114.60000000000001
489671,12/2/09 8:58,14135.0,True,8,966,740.3
489672,12/2/09 9:21,14831.0,True,32,421,772.65
489673,12/2/09 9:23,14831.0,True,4,34,61.099999999999994
489674,12/2/09 9:35,15602.0,True,17,266,261.3
489675,12/2/09 9:47,13777.0,True,22,1930,4939.22
489676,12/2/09 9:49,13777.0,True,5,840,1210.8
489677,12/2/09 9:50,14000.0,True,2,48,192.0
489678,12/2/09 9:57,16823.0,True,20,113,189.29999999999998
489679,12/2/09 10:00,16163.0,True,42,280,795.98
489680,12/2/09 10:02,17193.0,True,1,36,45.0
489681,12/2/09 10:02,17998.0,True,11,183,89.59
489682,12/2/09 10:08,15759.0,True,4,303,125.73
489683,12/2/09 10:09,16131.0,True,46,721,1317.97
489684,12/2/09 10:15,14560.0,True,9,116,266.6
489687,12/2/09 10:41,17087.0,True,12,113,221.53
489688,12/2/09 10:42,14894.0,True,3,54,299.70000000000005
489695,12/2/09 10:48,16202.0,True,15,121,306.95
489699,12/2/09 10:51,16700.0,True,25,238,401.7
489702,12/2/09 10:52,17511.0,True,30,2020,3108.64
489705,12/2/09 10:52,16700.0,True,1,4,17.0
489723,12/2/09 10:58,14299.0,True,26,1339,2052.12
489725,12/2/09 11:07,17949.0,True,1,300,216.0
489726,12/2/09 11:07,17949.0,True,1,200,750.0
489727,12/2/09 11:09,17949.0,True,1,450,900.0
489728,12/2/09 11:18,14799.0,True,10,349,180.45
489733,12/2/09 11:20,15311.0,True,2,48,168.0
489743,12/2/09 11:24,16550.0,True,33,320,538.77
489748,12/2/09 11:26,12980.0,True,3,84,754.2
489764,12/2/09 11:31,14425.0,True,14,82,223.1
489765,12/2/09 11:33,15353.0,True,41,91,285.59
489766,12/2/09 11:34,17818.0,True,46,90,130.18
489780,12/2/09 11:43,13654.0,True,8,90,159.98000000000002
489781,12/2/09 11:45,,True,1,17,0.0
489782,12/2/09 11:45,17189.0,True,22,148,230.46
489783,12/2/09 11:47,13269.0,True,7,152,162.04
489784,12/2/09 11:48,13269.0,True,4,48,40.8
489785,12/2/09 11:51,14653.0,True,20,250,333.67
489786,12/2/09 11:52,17019.0,True,44,199,216.86
489787,12/2/09 11:53,15542.0,True,74,127,319.54
489788,12/2/09 11:55,13564.0,True,17,38,119.16
489789,12/2/09 11:59,15833.0,True,5,24,80.4
489790,12/2/09 11:59,16467.0,True,2,88,131.12
489791,12/2/09 12:06,15542.0,True,65,90,221.19
489792,12/2/09 12:06,14527.0,True,58,165,923.79
489793,12/2/09 12:09,17476.0,True,16,124,260.36
489794,12/2/09 12:13,15287.0,True,4,55,58.2
489795,12/2/09 12:13,14440.0,True,13,287,935.01
489796,12/2/09 12:15,15680.0,True,19,268,311.5
489797,12/2/09 12:19,15581.0,True,26,142,200.63
489798,12/2/09 12:22,13740.0,True,20,97,311.69
489800,12/2/09 12:26,17768.0,True,32,532,408.07
489801,12/2/09 12:28,12948.0,True,6,144,128.48000000000002
489802,12/2/09 12:32,15581.0,True,45,156,174.52
489804,12/2/09 12:38,14667.0,True,16,185,251.17000000000002
489805,12/2/09 12:39,17377.0,True,46,227,454.35
489806,12/2/09 12:42,,True,1,-770,0.0
489807,12/2/09 12:43,15581.0,True,28,241,180.13
489808,12/2/09 12:44,14467.0,True,17,82,109.84
489809,12/2/09 12:46,13457.0,True,6,68,112.5
489810,12/2/09 12:47,18108.0,True,26,165,493.25
489811,12/2/09 12:54,16210.0,True,9,515,634.29
489812,12/2/09 13:00,17377.0,True,25,85,597.6899999999999
489814,12/2/09 13:06,14669.0,True,89,506,824.1800000000001
489815,12/2/09 13:10,17909.0,True,9,41,132.55
489816,12/2/09 13:20,16086.0,True,27,258,284.55
489817,12/2/09 13:22,16711.0,True,3,132,340.2
489818,12/2/09 13:23,16233.0,True,14,102,294.3
489819,12/2/09 13:23,14739.0,True,13,465,618.4300000000001
489820,12/2/09 13:23,,True,1,-720,0.0
489821,12/2/09 13:25,,True,1,-240,0.0
489822,12/2/09 13:26,14204.0,True,54,103,371.27000000000004
489823,12/2/09 13:32,17606.0,True,6,42,87.30000000000001
489824,12/2/09 13:33,16797.0,True,44,127,176.88
489825,12/2/09 13:34,16126.0,True,11,106,174.1
489826,12/2/09 13:39,17867.0,True,10,17,85.95
489827,12/2/09 13:51,17412.0,True,23,382,445.7
489829,12/2/09 13:53,16525.0,True,8,237,472.47
489830,12/2/09 13:57,13623.0,True,69,242,637.04
489831,12/2/09 13:58,12435.0,False,1,480,1008.0
489832,12/2/09 14:06,14549.0,True,55,122,316.22
489833,12/2/09 14:09,14980.0,True,24,79,150.68
489834,12/2/09 14:09,14106.0,True,1,24,214.79999999999998
489835,12/2/09 14:15,15061.0,True,2,280,714.0
489837,12/2/09 14:21,14396.0,True,47,274,514.97
489840,12/2/09 14:22,14122.0,True,1,6,89.69999999999999
489855,12/2/09 14:34,16987.0,True,29,56,157.91
489856,12/2/09 14:36,,True,426,817,4463.74
489857,12/2/09 14:43,,True,516,1226,5741.96
489861,12/2/09 14:50,,True,7,34,46.07
489862,12/2/09 14:52,17809.0,True,4,150,734.7
489863,12/2/09 14:55,15917.0,True,18,21,66.82
489864,12/2/09 14:56,14987.0,True,3,79,206.85
489865,12/2/09 15:01,14080.0,True,18,53,234.87
489866,12/2/09 15:04,16200.0,True,120,587,1003.83
489867,12/2/09 15:08,,True,12,45,118.95
489868,12/2/09 15:10,15794.0,True,14,248,675.0
489869,12/2/09 15:15,16200.0,True,17,27,39.980000000000004
489870,12/2/09 15:16,15523.0,True,3,118,162.1
489871,12/2/09 15:17,15523.0,True,5,274,735.7
489872,12/2/09 15:28,15615.0,True,22,320,632.9
489873,12/2/09 15:29,15615.0,True,1,12,10.2
489874,12/2/09 15:38,18001.0,True,12,144,176.6
489875,12/2/09 15:41,17841.0,True,95,219,530.76
489876,12/2/09 15:44,15917.0,True,18,22,39.85
489877,12/2/09 15:44,13089.0,True,4,162,368.1
489878,12/2/09 15:51,15989.0,True,38,56,143.11
489879,12/2/09 16:02,17660.0,True,44,138,163.47
489880,12/2/09 16:18,13313.0,True,22,552,380.28000000000003
489882,12/2/09 16:22,,True,1,12,0.0
489883,12/2/09 16:24,12437.0,False,27,263,578.28
489884,12/2/09 16:24,13313.0,True,1,19,3.61
489888,12/2/09 16:49,14841.0,True,26,660,597.4
489889,12/2/09 16:52,14646.0,False,20,3200,4734.24
489890,12/2/09 16:53,14646.0,False,3,592,976.8
489891,12/2/09 16:59,15482.0,True,6,144,181.08
489892,12/2/09 17:02,,True,2,4,39.8
489893,12/2/09 17:06,16156.0,True,9,98,300.1
489894,12/2/09 17:18,17716.0,True,27,396,520.2
489895,12/3/09 7:25,12779.0,False,22,266,371.82
489896,12/3/09 7:57,13611.0,True,20,227,337.93
489897,12/3/09 9:10,15255.0,True,13,176,260.44
489898,12/3/09 9:40,,True,1,954,0.0
489899,12/3/09 9:41,,True,1,-954,0.0
489900,12/3/09 9:44,14771.0,True,19,253,287.37
489901,12/3/09 9:47,,True,1,-200,0.0
489902,12/3/09 9:52,14838.0,True,4,18,119.10000000000001
489903,12/3/09 9:57,,True,1,48,0.0
489904,12/3/09 10:02,13979.0,True,13,150,203.78
489905,12/3/09 10:03,13800.0,True,19,242,478.7
489906,12/3/09 10:16,14483.0,True,4,96,120.0
489907,12/3/09 10:17,14915.0,True,11,104,202.06
489908,12/3/09 10:20,16301.0,True,6,41,107.33
489909,12/3/09 10:20,13753.0,True,16,428,642.2
489910,12/3/09 10:23,15482.0,True,1,288,144.0
489912,12/3/09 10:26,13931.0,True,58,578,1146.1000000000001
489913,12/3/09 10:28,13931.0,True,3,16,69.6
489914,12/3/09 10:28,12921.0,True,29,508,993.0
489915,12/3/09 10:37,17035.0,True,2,36,54.599999999999994
489916,12/3/09 10:37,15194.0,True,9,212,336.0
489932,12/3/09 10:49,14347.0,True,6,48,82.6
489935,12/3/09 10:51,12934.0,True,2,31,181.65
489994,12/3/09 11:09,15291.0,True,4,142,430.9
489996,12/3/09 11:10,17209.0,True,5,514,320.40000000000003
489998,12/3/09 11:19,15658.0,True,18,95,321.65
489999,12/3/09 11:25,17314.0,True,7,72,154.2
490000,12/3/09 11:34,17155.0,True,12,89,143.06
490001,12/3/09 11:45,15965.0,True,2,94,169.5
490002,12/3/09 11:46,17322.0,True,28,115,114.55
490003,12/3/09 11:51,16159.0,True,12,163,317.55
490004,12/3/09 11:53,14051.0,True,9,224,912.5600000000001
490005,12/3/09 11:57,13993.0,True,25,203,556.75
490006,12/3/09 12:02,17411.0,True,19,150,344.40000000000003
490007,12/3/09 12:09,,True,1,-720,0.0
490008,12/3/09 12:10,15768.0,True,64,257,503.93
490009,12/3/09 12:13,12835.0,True,31,100,285.09
490010,12/3/09 12:15,15061.0,True,1,480,1008.0
490011,12/3/09 12:27,16918.0,True,43,138,221.69
490012,12/3/09 12:27,15179.0,True,27,339,763.35
490013,12/3/09 12:27,17069.0,True,33,395,500.55
490014,12/3/09 12:28,15466.0,True,93,407,744.21
490015,12/3/09 12:29,,True,1,467,0.0
490016,12/3/09 12:30,,True,1,-1012,0.0
490017,12/3/09 12:31,14159.0,True,99,267,393.65
490018,12/3/09 12:31,17940.0,True,4,17520,4380.0
490019,12/3/09 12:34,17581.0,True,15,116,308.6
490020,12/3/09 12:36,17581.0,True,3,14,37.8
490021,12/3/09 12:36,17581.0,True,1,12,10.2
490022,12/3/09 12:37,17581.0,True,3,24,45.60000000000001
490023,12/3/09 12:38,16168.0,True,4,49,189.15
490024,12/3/09 12:40,14606.0,True,49,121,215.0
490030,12/3/09 12:44,,True,2,12,58.2
490034,12/3/09 12:45,17287.0,True,11,30,69.82
490045,12/3/09 12:50,17287.0,True,22,109,180.39
490046,12/3/09 13:02,13416.0,True,7,66,228.3
490047,12/3/09 13:02,17913.0,True,28,131,263.85
490048,12/3/09 13:03,16779.0,True,35,681,1146.71
490049,12/3/09 13:04,15794.0,True,1,40,102.0
490050,12/3/09 13:05,17913.0,True,1,2,13.5
490052,12/3/09 13:09,13895.0,True,42,408,831.0
490053,12/3/09 13:17,14057.0,True,17,101,119.54
490054,12/3/09 13:22,17017.0,True,7,186,277.5
490055,12/3/09 13:22,,True,1,-25,0.0
490056,12/3/09 13:25,13208.0,True,16,56,61.12
490057,12/3/09 13:25,17465.0,True,20,184,360.52
490058,12/3/09 13:26,17465.0,True,2,27,47.85
490059,12/3/09 13:30,18102.0,True,9,4825,14475.0
490060,12/3/09 13:32,13468.0,True,17,148,314.22
490061,12/3/09 13:42,18102.0,True,4,2000,4000.0
490062,12/3/09 13:46,13485.0,True,8,86,165.3
490063,12/3/09 13:49,17271.0,True,52,117,210.39
490064,12/3/09 13:51,16139.0,True,19,215,355.59000000000003
490065,12/3/09 13:58,15061.0,True,1,600,1260.0
490066,12/3/09 14:00,15953.0,True,7,212,372.2
490067,12/3/09 14:02,15856.0,True,24,412,952.61
490068,12/3/09 14:06,13085.0,True,9,90,284.3
490069,12/3/09 14:07,13085.0,True,5,60,161.39999999999998
490070,12/3/09 14:07,14967.0,True,5,68,236.25
490071,12/3/09 14:11,16497.0,True,19,111,294.85
490072,12/3/09 14:28,17764.0,True,30,71,194.65
490073,12/3/09 14:36,14905.0,True,13,172,258.1
490074,12/3/09 14:39,,True,580,1200,6500.63
490075,12/3/09 14:42,18229.0,True,4,84,381.0
490077,12/3/09 15:09,17293.0,True,6,65,115.50999999999999
490078,12/3/09 15:09,17853.0,True,29,159,584.35
490079,12/3/09 15:15,15550.0,True,10,85,160.35
490080,12/3/09 15:20,13531.0,True,15,126,311.7
490081,12/3/09 15:32,13786.0,True,20,323,723.09
490082,12/3/09 15:34,14952.0,True,7,262,337.9
490083,12/3/09 15:35,14031.0,True,61,1132,2506.14
490084,12/3/09 15:37,,True,1,-89,0.0
490085,12/3/09 15:43,12937.0,True,15,108,170.06
490086,12/3/09 15:48,17949.0,True,1,432,799.2
490087,12/3/09 15:49,15601.0,True,51,668,898.1800000000001
490088,12/3/09 15:50,15581.0,True,2,2,17.0
490089,12/3/09 15:52,17949.0,True,1,252,466.20000000000005
490090,12/3/09 15:53,15581.0,True,17,25,45.55
490091,12/3/09 15:54,17949.0,True,1,600,636.0
490092,12/3/09 15:54,16612.0,True,23,297,510.87
490093,12/3/09 15:56,12949.0,True,64,896,1794.7
490094,12/3/09 15:56,17949.0,True,1,504,851.76
490095,12/3/09 16:02,14958.0,True,12,54,186.36
490097,12/3/09 16:09,17329.0,True,36,146,279.42
490099,12/3/09 16:12,16736.0,True,74,526,1225.98
490100,12/3/09 16:21,13001.0,True,83,403,869.9300000000001
490101,12/3/09 16:24,14644.0,True,11,150,338.5
490106,12/3/09 16:40,14898.0,True,20,275,314.37
490107,12/3/09 16:47,14662.0,True,8,30,110.69999999999999
490108,12/3/09 16:49,17414.0,True,5,444,239.68
490109,12/3/09 16:51,14755.0,True,20,204,415.0
490110,12/3/09 16:52,14755.0,True,2,13,30.15
490111,12/3/09 16:54,17576.0,True,31,221,321.21000000000004
490112,12/3/09 17:04,13037.0,True,20,161,313.19
490113,12/3/09 17:12,14710.0,True,11,16,39.2
490114,12/3/09 17:29,18168.0,True,22,160,257.62
490115,12/3/09 17:32,17679.0,True,12,316,342.6
490116,12/3/09 17:33,17679.0,True,4,48,122.39999999999999
490118,12/3/09 17:46,17851.0,True,47,151,317.04
490119,12/3/09 17:48,12931.0,True,1,75,108.75
490121,12/3/09 17:57,14750.0,True,32,65,112.03
490123,12/3/09 18:08,,True,1,184,0.0
490124,12/3/09 18:08,16791.0,True,44,107,319.87
490125,12/3/09 18:11,16558.0,True,9,109,297.05
490127,12/3/09 18:13,14156.0,False,33,203,569.1800000000001
490128,12/3/09 18:23,15884.0,True,14,156,241.8
490130,12/3/09 18:28,,True,1,-600,0.0
490132,12/3/09 18:30,17343.0,True,12,89,197.3
490134,12/3/09 18:41,17372.0,True,25,59,151.65
490135,12/3/09 18:51,16003.0,True,18,127,387.87
490136,12/3/09 19:13,17432.0,True,41,71,174.85
490137,12/3/09 19:22,14713.0,True,21,104,160.69
490138,12/3/09 19:23,16722.0,True,14,198,339.78
490139,12/3/09 19:31,12577.0,False,13,79,210.55
490140,12/3/09 20:03,12872.0,True,43,227,407.22
490141,12/4/09 8:24,15755.0,True,18,158,308.75
490142,12/4/09 8:36,14258.0,True,14,356,1261.0
490143,12/4/09 8:40,14286.0,True,76,1687,1610.52
490144,12/4/09 8:46,13154.0,True,18,152,337.1
490145,12/4/09 9:27,14564.0,False,39,439,989.18
490146,12/4/09 9:29,,True,1,-169,0.0
490147,12/4/09 9:31,13408.0,True,8,472,510.64
490149,12/4/09 9:43,,True,559,1214,6529.11
490150,12/4/09 9:44,,True,1,80,0.0
490151,12/4/09 9:49,16645.0,True,14,117,160.39
490152,12/4/09 10:00,12714.0,False,29,238,682.65
490154,12/4/09 10:18,16335.0,True,49,111,290.48
490156,12/4/09 10:32,13093.0,True,6,262,455.36
490157,12/4/09 10:39,16736.0,True,1,40,138.0
490158,12/4/09 10:47,12759.0,False,22,281,508.26
490159,12/4/09 10:48,13666.0,True,2,2,19.5
490160,12/4/09 10:52,13777.0,True,1,96,244.79999999999998
490161,12/4/09 10:57,17160.0,True,59,653,825.94
490162,12/4/09 11:07,13946.0,True,26,206,280.2
490163,12/4/09 11:22,14723.0,True,17,115,141.63
490164,12/4/09 11:32,14961.0,True,41,632,1058.4
490165,12/4/09 11:32,,True,1,-106,0.0
490166,12/4/09 11:32,14735.0,True,12,175,371.85
490167,12/4/09 11:36,18061.0,True,8,241,312.21
490171,12/4/09 11:54,15581.0,True,5,32,29.28
490177,12/4/09 11:56,,True,2,4,18.0
490186,12/4/09 11:59,,True,1,1,3.75
490192,12/4/09 12:01,,True,1,1,8.95
490202,12/4/09 12:03,15078.0,True,20,188,410.0
490209,12/4/09 12:06,17389.0,True,5,484,908.0400000000001
490212,12/4/09 12:07,16883.0,True,12,41,108.95
490214,12/4/09 12:11,13175.0,True,20,201,319.15
490218,12/4/09 12:12,17076.0,True,3,48,67.67999999999999
490219,12/4/09 12:14,13948.0,True,7,63,155.65
490229,12/4/09 12:20,18223.0,True,34,713,1185.16
490247,12/4/09 12:28,16192.0,True,11,208,351.3
